crim,medv,age,dis,nox,rm
0.55778,18.1,98.2,2.1107,0.624,6.335
0.32264,17.4,93.5,1.9669,0.624,5.942
0.35233,17.1,98.4,1.8498,0.624,6.454
0.2498,13.3,98.2,1.6686,0.624,5.857
0.54452,17.8,97.9,1.6687,0.624,6.151
0.2909,14,93.6,1.6119,0.624,6.174
1.62864,14.4,100,1.4394,0.624,5.019
3.32105,13.4,100,1.3216,0.871,5.403
4.0974,15.6,100,1.4118,0.871,5.468
2.77974,11.8,97.8,1.3459,0.871,4.903
2.37934,13.8,100,1.4191,0.871,6.13
2.15505,15.6,100,1.5166,0.871,5.628
2.36862,14.6,95.7,1.4608,0.871,4.926
2.33099,17.8,93.8,1.5296,0.871,5.186
2.73397,15.4,94.9,1.5257,0.871,5.597
1.6566,21.5,97.3,1.618,0.871,6.122
1.49632,19.6,100,1.5916,0.871,5.404
1.12658,15.3,88,1.6102,0.871,5.012
2.14918,19.4,98.5,1.6232,0.871,5.709
1.41385,17,96,1.7494,0.871,6.129
3.53501,15.6,82.6,1.7455,0.871,6.152
2.44668,13.1,94,1.7364,0.871,5.272
1.22358,41.3,97.4,1.8773,0.605,6.943
1.34284,24.3,100,1.7573,0.605,6.066
1.42502,23.3,100,1.7659,0.871,6.51
1.27346,27,92.6,1.7984,0.605,6.25
1.46336,50,90.8,1.9709,0.605,7.489
1.83377,50,98.2,2.0407,0.605,7.802
1.51902,50,93.9,2.162,0.605,8.375
2.24236,22.7,91.8,2.422,0.605,5.854
2.924,25,93,2.2834,0.605,6.101
2.01019,50,96.2,2.0459,0.605,7.929
1.80028,23.8,79.2,2.4259,0.605,5.877
2.3004,23.8,96.1,2.1,0.605,6.319
2.44953,22.3,95.2,2.2625,0.605,6.402
1.20742,17.4,94.6,2.4259,0.605,5.875
2.3139,19.1,97.3,2.3887,0.605,5.88
0.13914,23.1,88.5,2.5961,0.51,5.572
0.09178,23.6,84.1,2.6463,0.51,6.416
0.08447,22.6,68.7,2.7019,0.51,5.859
0.06664,29.4,33.1,3.1323,0.51,6.546
0.07022,23.2,47.2,3.5549,0.51,6.02
0.05425,24.6,73.4,3.3175,0.51,6.315
0.06642,29.9,74.4,2.9153,0.51,6.86
0.0578,37.2,58.4,2.829,0.488,6.98
0.06588,39.8,83.3,2.741,0.488,7.765
0.06888,36.2,62.2,2.5979,0.488,6.144
0.09103,37.9,92.2,2.7006,0.488,7.155
0.10008,32.5,95.6,2.847,0.488,6.563
0.08308,26.4,89.8,2.9879,0.488,5.604
0.06047,29.6,68.8,3.2797,0.488,6.153
0.05602,50,53.6,3.1992,0.488,7.831
0.07875,32,41.1,3.7886,0.437,6.782
0.12579,29.8,29.1,4.5667,0.437,6.556
0.0837,34.9,38.9,4.5667,0.437,7.185
0.09068,37,21.5,6.4798,0.437,6.951
0.06911,30.5,30.8,6.4798,0.437,6.739
0.08664,36.4,26.3,6.4798,0.437,7.178
0.02187,31.1,9.9,6.2196,0.401,6.8
0.01439,29.1,18.8,6.2196,0.401,6.604
0.01381,50,32,5.6484,0.422,7.875
0.04011,33.3,34.1,7.309,0.404,7.287
0.04666,30.3,36.6,7.309,0.404,7.107
0.03768,34.6,38.3,7.309,0.404,7.274
0.0315,34.9,15.3,7.6534,0.403,6.975
0.01778,32.9,13.9,7.6534,0.403,7.135
0.03445,24.1,38.4,6.27,0.415,6.162
0.02177,42.3,15.7,6.27,0.415,7.61
0.0351,48.5,33.2,5.118,0.4161,7.853
0.02009,50,31.9,5.118,0.4161,8.034
0.13642,22.6,22.3,3.9454,0.489,5.891
0.22969,24.4,52.5,4.3549,0.489,6.326
0.25199,22.5,72.7,4.3549,0.489,5.783
0.13587,24.4,59.1,4.2392,0.489,6.064
0.43571,20,100,3.875,0.489,5.344
0.17446,21.7,92.1,3.8771,0.489,5.96
0.37578,19.3,88.6,3.665,0.489,5.404
0.21719,22.4,53.8,3.6526,0.489,5.807
0.14052,28.1,32.3,3.9454,0.489,6.375
0.28955,23.7,9.8,3.5875,0.489,5.412
0.19802,25,42.4,3.9454,0.489,6.182
0.0456,23.3,56,3.1121,0.55,5.888
0.07013,28.7,85.1,3.4211,0.55,6.642
0.11069,21.5,93.8,2.8893,0.55,5.951
0.11425,23,92.4,3.3633,0.55,6.373
0.35809,26.7,88.5,2.8617,0.507,6.951
0.40771,21.7,91.3,3.048,0.507,6.164
0.62356,27.5,77.7,3.2721,0.507,6.879
0.6147,30.1,80.8,3.2721,0.507,6.618
0.31533,44.8,78.3,2.8944,0.504,8.266
0.52693,50,83,2.8944,0.504,8.725
0.38214,37.6,86.5,3.2157,0.504,8.04
0.41238,31.6,79.9,3.2157,0.504,7.163
0.29819,46.7,17,3.3751,0.504,7.686
0.44178,31.5,21.4,3.3751,0.504,6.552
0.537,24.3,68.1,3.6715,0.504,5.981
0.46296,31.7,76.9,3.6715,0.504,7.412
0.57529,41.7,73.3,3.8384,0.507,8.337
0.33147,48.3,70.4,3.6519,0.507,8.247
0.44791,29,66.5,3.6519,0.507,6.726
0.33045,24,61.5,3.6519,0.507,6.086
0.52058,25.1,76.5,4.148,0.507,6.631
0.51183,31.5,71.6,4.148,0.507,7.358
0.08244,23.7,18.5,6.1899,0.428,6.481
0.09252,23.3,42.2,6.1899,0.428,6.606
0.11329,22,54.3,6.3361,0.428,6.897
0.10612,20.1,65.1,6.3361,0.428,6.095
0.1029,22.2,52.9,7.0355,0.428,6.358
0.12757,23.7,7.8,7.0355,0.428,6.393
0.20608,17.6,76.5,7.9549,0.431,5.593
0.19133,18.5,70.2,7.9549,0.431,5.605
0.33983,24.3,34.9,8.0555,0.431,6.108
0.19657,20.5,79.2,8.0555,0.431,6.226
0.16439,24.5,49.1,7.8265,0.431,6.433
0.19073,26.2,17.5,7.8265,0.431,6.718
0.1403,24.4,13,7.3967,0.431,6.487
0.21409,24.8,8.9,7.3967,0.431,6.438
0.08221,29.6,6.8,8.9067,0.431,6.957
0.36894,42.8,8.4,8.9067,0.431,8.259
0.04819,21.9,32,9.2203,0.392,6.108
0.03548,20.9,19.1,9.2203,0.392,5.876
0.01538,44,34.2,6.3361,0.394,7.454
0.61154,50,86.9,1.801,0.647,8.704
0.66351,36,100,1.8946,0.647,7.333
0.65665,30.1,100,2.0107,0.647,6.842
0.54011,33.8,81.8,2.1121,0.647,7.203
0.53412,43.1,89.4,2.1398,0.647,7.52
0.52014,48.8,91.5,2.2885,0.647,8.398
0.82526,31,94.5,2.0788,0.647,7.327
0.55007,36.5,91.6,1.9301,0.647,7.206
0.76162,22.8,62.8,1.9865,0.647,5.56
0.7857,30.7,84.6,2.1329,0.647,7.014
0.57834,50,67,2.4216,0.575,8.297
0.5405,43.5,52.6,2.872,0.575,7.47
0.09065,20.7,61.5,3.9175,0.464,5.92
0.29916,21.1,42.1,4.429,0.464,5.856
0.16211,25.2,16.3,4.429,0.464,6.24
0.1146,24.4,58.7,3.9175,0.464,6.538
0.22188,35.2,51.8,4.3665,0.464,7.691
0.05644,32.4,32.9,4.0776,0.447,6.758
0.09604,32,42.8,4.2673,0.447,6.854
0.10469,33.2,49,4.7872,0.447,7.267
0.06127,33.1,27.6,4.8628,0.447,6.826
0.07978,29.1,32.1,4.1403,0.447,6.482
0.21038,35.1,32.2,4.1007,0.4429,6.812
0.03578,45.4,64.5,4.6947,0.4429,7.82
0.03705,35.4,37.2,5.2447,0.4429,6.968
0.06129,46,49.7,5.2119,0.4429,7.645
0.01501,50,24.8,5.885,0.401,7.923
0.00906,32.2,20.8,7.3073,0.4,7.088
0.01096,22,31.9,7.3073,0.389,6.453
0.01965,20.1,31.5,9.0892,0.385,6.23
0.03871,23.2,31.3,7.3172,0.405,6.209
0.0459,22.3,45.6,7.3172,0.405,6.315
0.04297,24.8,22.9,7.3172,0.405,6.565
0.03502,28.5,27.9,5.1167,0.411,6.861
0.07886,37.3,27.7,5.1167,0.411,7.148
0.03615,27.9,23.4,5.1167,0.411,6.63
0.08265,23.9,18.4,5.5027,0.437,6.127
0.08199,21.7,42.3,5.5027,0.437,6.009
0.12932,28.6,31.1,5.9604,0.437,6.678
0.05372,27.1,51,5.9604,0.437,6.549
0.14103,20.3,58,6.32,0.437,5.79
0.06466,22.5,20.1,7.8278,0.4,6.345
0.05561,29,10,7.8278,0.4,7.041
0.04417,24.8,47.4,7.8278,0.4,6.871
0.03537,22,40.4,5.4917,0.433,6.59
0.09266,26.4,18.4,5.4917,0.433,6.495
0.1,33.1,17.7,5.4917,0.433,6.982
0.05515,36.1,41.1,4.022,0.472,7.236
0.05479,28.4,58.1,3.37,0.472,6.616
0.07503,33.4,71.9,3.0992,0.472,7.42
0.04932,28.2,70.3,3.1827,0.472,6.849
0.49298,22.8,82.5,3.3175,0.544,6.635
0.3494,20.3,76.7,3.1025,0.544,5.972
2.63548,16.1,37.8,2.5194,0.544,4.973
0.79041,22.1,52.8,2.6403,0.544,6.122
0.26169,19.4,90.4,2.834,0.544,6.023
0.26938,21.6,82.8,3.2628,0.544,6.266
0.3692,23.8,87.3,3.6023,0.544,6.567
0.25356,16.2,77.7,3.945,0.544,5.705
0.31827,17.8,83.2,3.9986,0.544,5.914
0.24522,19.8,71.7,4.0317,0.544,5.782
0.40202,23.1,67.2,3.5325,0.544,6.382
0.47547,21,58.8,4.0019,0.544,6.113
0.1676,23.8,52.3,4.5404,0.493,6.426
0.18159,23.1,54.3,4.5404,0.493,6.376
0.35114,20.4,49.9,4.7211,0.493,6.041
0.28392,18.5,74.3,4.7211,0.493,5.708
0.34109,25,40.1,4.7211,0.493,6.415
0.19186,24.6,14.7,5.4159,0.493,6.431
0.30347,23,28.9,5.4159,0.493,6.312
0.24103,22.2,43.7,5.4159,0.493,6.083
0.06617,19.3,25.8,5.2146,0.46,5.868
0.06724,22.6,17.2,5.2146,0.46,6.333
0.04544,19.8,32.2,5.8736,0.46,6.144
0.05023,17.1,28.4,6.6407,0.4379,5.706
0.03466,19.4,23.3,6.6407,0.4379,6.031
0.05083,22.2,38.1,6.4584,0.515,6.316
0.03738,20.7,38.5,6.4584,0.515,6.31
0.03961,21.1,34.5,5.9853,0.515,6.037
0.03427,19.5,46.3,5.2311,0.515,5.869
0.03041,18.5,59.6,5.615,0.515,5.895
0.03306,20.6,37.3,4.8122,0.515,6.059
0.05497,19,45.4,4.8122,0.515,5.985
0.06151,18.7,58.5,4.8122,0.515,5.968
0.01301,32.7,49.3,7.0379,0.442,7.241
0.02498,16.5,59.7,6.2669,0.518,6.54
0.02543,23.9,56.4,5.7321,0.484,6.696
0.03049,31.2,28.1,6.4654,0.484,6.874
0.03113,17.5,48.5,8.0136,0.442,6.014
0.06162,17.2,52.3,8.0136,0.442,5.898
0.0187,23.1,27.7,8.5353,0.429,6.516
0.01501,24.5,29.7,8.344,0.435,6.635
0.02899,26.6,34.5,8.7921,0.429,6.939
0.06211,22.9,44.4,8.7921,0.429,6.49
0.0795,24.1,35.9,10.7103,0.411,6.579
0.07244,18.6,18.5,10.7103,0.411,5.884
0.01709,30.1,36.1,12.1265,0.41,6.728
0.04301,18.2,21.9,10.5857,0.413,5.663
0.10659,20.6,19.5,10.5857,0.413,5.936
8.98296,17.8,97.4,2.1222,0.77,6.212
3.8497,21.7,91,2.5052,0.77,6.395
5.20177,22.7,83.4,2.7227,0.77,6.127
4.26131,22.6,81.3,2.5091,0.77,6.112
4.54192,25,88,2.5182,0.77,6.398
3.83684,19.9,91.1,2.2955,0.77,6.251
3.67822,20.8,96.2,2.1036,0.77,5.362
4.22239,16.8,89,1.9047,0.77,5.803
3.47428,21.9,82.9,1.9047,0.718,8.78
4.55587,27.5,87.9,1.6132,0.718,3.561
3.69695,21.9,91.4,1.7523,0.718,4.963
13.5222,23.1,100,1.5106,0.631,3.863
4.89822,50,100,1.3325,0.631,4.97
5.66998,50,96.8,1.3567,0.631,6.683
6.53876,50,97.5,1.2024,0.631,7.016
9.2323,50,100,1.1691,0.631,6.216
8.26725,50,89.6,1.1296,0.668,5.875
11.1081,13.8,100,1.1742,0.668,4.906
18.4982,13.8,100,1.137,0.668,4.138
19.6091,15,97.9,1.3163,0.671,7.313
15.288,13.9,93.3,1.3449,0.671,6.649
9.82349,13.3,98.8,1.358,0.671,6.794
23.6482,13.1,96.2,1.3861,0.671,6.38
17.8667,10.2,100,1.3861,0.671,6.223
88.9762,10.4,91.9,1.4165,0.671,6.968
15.8744,10.9,99.1,1.5192,0.671,6.545
9.18702,11.3,100,1.5804,0.7,5.536
7.99248,12.3,100,1.5331,0.7,5.52
20.0849,8.8,91.2,1.4395,0.7,4.368
16.8118,7.2,98.1,1.4261,0.7,5.277
24.3938,10.5,100,1.4672,0.7,4.652
22.5971,7.4,89.5,1.5184,0.7,5
14.3337,10.2,100,1.5895,0.7,4.88
8.15174,11.5,98.9,1.7281,0.7,5.39
6.96215,15.1,97,1.9265,0.7,5.713
5.29305,23.2,82.5,2.1678,0.7,6.051
11.5779,9.7,97,1.77,0.7,5.036
8.64476,13.8,92.6,1.7912,0.693,6.193
13.3598,12.7,94.7,1.7821,0.693,5.887
8.71675,13.1,98.8,1.7257,0.693,6.471
5.87205,12.5,96,1.6768,0.693,6.405
7.67202,8.5,98.9,1.6334,0.693,5.747
38.3518,5,100,1.4896,0.693,5.453
9.91655,6.3,77.8,1.5004,0.693,5.852
25.0461,5.6,100,1.5888,0.693,5.987
14.2362,7.2,100,1.5741,0.693,6.343
9.59571,12.1,100,1.639,0.693,6.404
24.8017,8.3,96,1.7028,0.693,5.349
41.5292,8.5,85.4,1.6074,0.693,5.531
67.9208,5,100,1.4254,0.693,5.683
20.7162,11.9,100,1.1781,0.659,4.138
11.9511,27.9,100,1.2852,0.659,5.608
7.40389,17.2,97.9,1.4547,0.597,5.617
14.4383,27.5,100,1.4655,0.597,6.852
51.1358,15,100,1.413,0.597,5.757
14.0507,17.2,100,1.5275,0.597,6.657
18.811,17.9,100,1.5539,0.597,4.628
28.6558,16.3,100,1.5894,0.597,5.155
45.7461,7,100,1.6582,0.693,4.519
18.0846,7.2,100,1.8347,0.679,6.434
10.8342,7.5,90.8,1.8195,0.679,6.782
25.9406,10.4,89.1,1.6475,0.679,5.304
73.5341,8.8,100,1.8026,0.679,5.957
11.8123,8.4,76.5,1.794,0.718,6.824
11.0874,16.7,100,1.8589,0.718,6.411
7.02259,14.2,95.3,1.8746,0.718,6.006
12.0482,20.8,87.6,1.9512,0.614,5.648
7.05042,13.4,85.1,2.0218,0.614,6.103
8.79212,11.7,70.6,2.0635,0.584,5.565
15.8603,8.3,95.4,1.9096,0.679,5.896
12.2472,10.2,59.7,1.9976,0.584,5.837
37.6619,10.9,78.7,1.8629,0.679,6.202
7.36711,11,78.1,1.9356,0.679,6.193
9.33889,9.5,95.6,1.9682,0.679,6.38
8.49213,14.5,86.1,2.0527,0.584,6.348
10.0623,14.1,94.3,2.0882,0.584,6.833
6.44405,16.1,74.8,2.2004,0.584,6.425
5.58107,14.3,87.9,2.3158,0.713,6.436
13.9134,11.7,95,2.2222,0.713,6.208
11.1604,13.4,94.6,2.1247,0.74,6.629
14.4208,9.6,93.3,2.0026,0.74,6.461
15.1772,8.7,100,1.9142,0.74,6.152
13.6781,8.4,87.9,1.8206,0.74,5.935
9.39063,12.8,93.9,1.8172,0.74,5.627
22.0511,10.5,92.4,1.8662,0.74,5.818
9.72418,17.1,97.2,2.0651,0.74,6.406
5.66637,18.4,100,2.0048,0.74,6.219
9.96654,15.4,100,1.9784,0.74,6.485
12.8023,10.8,96.6,1.8956,0.74,5.854
10.6718,11.8,94.8,1.9879,0.74,6.459
6.28807,14.9,96.4,2.072,0.74,6.341
9.92485,12.6,96.6,2.198,0.74,6.251
9.32909,14.1,98.7,2.2616,0.713,6.185
7.52601,13,98.3,2.185,0.713,6.417
6.71772,13.4,92.6,2.3236,0.713,6.749
5.44114,15.2,98.2,2.3552,0.713,6.655
5.09017,16.1,91.8,2.3682,0.713,6.297
8.24809,17.8,99.3,2.4527,0.713,7.393
9.51363,14.9,94.1,2.4961,0.713,6.728
4.75237,14.1,86.5,2.4358,0.713,6.525
4.66883,12.7,87.9,2.5806,0.713,5.976
8.20058,13.5,80.3,2.7792,0.713,5.936
7.75223,14.9,83.7,2.7831,0.713,6.301
6.80117,20,84.4,2.7175,0.713,6.081
4.81213,16.4,90,2.5975,0.713,6.701
3.69311,17.7,88.4,2.5671,0.713,6.376
6.65492,19.5,83,2.7344,0.713,6.317
5.82115,20.2,89.9,2.8016,0.713,6.513
7.83932,21.4,65.4,2.9634,0.655,6.209
3.1636,19.9,48.2,3.0665,0.655,5.759
3.77498,19,84.7,2.8715,0.655,5.952
4.42228,19.1,94.5,2.5403,0.584,6.003
15.5757,19.1,71,2.9084,0.58,5.926
13.0751,20.1,56.7,2.8237,0.58,5.713
4.34879,19.9,84,3.0334,0.58,6.167
4.03841,19.6,90.7,3.0993,0.532,6.229
3.56868,23.2,75,2.8965,0.58,6.437
4.64689,29.8,67.6,2.5329,0.614,6.98
8.05579,13.8,95.4,2.4298,0.584,5.427
6.39312,13.3,97.4,2.206,0.584,6.162
4.87141,16.7,93.6,2.3053,0.614,6.484
15.0234,12,97.3,2.1007,0.614,5.304
10.233,14.6,96.7,2.1705,0.614,6.185
14.3337,21.4,88,1.9512,0.614,6.229
5.82401,23,64.7,3.4242,0.532,6.242
5.70818,23.7,74.9,3.3317,0.532,6.75
5.73116,25,77,3.4106,0.532,7.061
2.81838,21.8,40.3,4.0983,0.532,5.762
2.37857,20.6,41.9,3.724,0.583,5.871
3.67367,21.2,51.9,3.9917,0.583,6.312
5.69175,19.1,79.8,3.5459,0.583,6.114
4.83567,20.6,53.2,3.1523,0.583,5.905
0.15086,15.2,92.7,1.8209,0.609,5.454
0.18337,7,98.3,1.7554,0.609,5.414
0.20746,8.1,98,1.8226,0.609,5.093
0.10574,13.6,98.8,1.8681,0.609,5.983
0.11132,20.1,83.5,2.1099,0.609,5.983
0.17331,21.8,54,2.3817,0.585,5.707
0.27957,24.5,42.6,2.3817,0.585,5.926
0.17899,23.1,28.8,2.7986,0.585,5.67
0.2896,19.7,72.9,2.7986,0.585,5.39
0.26838,18.3,70.6,2.8927,0.585,5.794
0.23912,21.2,65.3,2.4091,0.585,6.019
0.17783,17.5,73.5,2.3999,0.585,5.569
0.22438,16.8,79.7,2.4982,0.585,6.027
0.06263,22.4,69.1,2.4786,0.573,6.593
0.04527,20.6,76.7,2.2875,0.573,6.12
0.06076,23.9,91,2.1675,0.573,6.976
0.10959,22,89.3,2.3889,0.573,6.794
0.04741,11.9,80.8,2.505,0.573,6.03
